key	category	destination	notes
ANDROID_CERT_FINGERPRINT	runtime server secret/config	AWS Secrets Manager app config JSON	value redacted
AUTH0_CLIENT_AUDIENCE	build-time public	GitHub variable / Docker build arg and AWS Secrets Manager app config JSON if server runtime requires it	value comes from Heroku classification or provider public config; do not commit
AUTH0_CLIENT_ID	build-time public	GitHub variable / Docker build arg and AWS Secrets Manager app config JSON if server runtime requires it	value comes from Heroku classification or provider public config; do not commit
AUTH0_CLIENT_REDIRECT	build-time public	GitHub variable / Docker build arg and AWS Secrets Manager app config JSON if server runtime requires it	value comes from Heroku classification or provider public config; do not commit
AUTH0_DOMAIN	build-time public	GitHub variable / Docker build arg and AWS Secrets Manager app config JSON if server runtime requires it	value comes from Heroku classification or provider public config; do not commit
AUTH0_SERVER_AUDIENCE	runtime server secret/config	AWS Secrets Manager app config JSON	value redacted
AUTH0_SERVER_ID	runtime server secret/config	AWS Secrets Manager app config JSON	value redacted
AUTH0_SERVER_SECRET	runtime server secret/config	AWS Secrets Manager app config JSON	value redacted
AW_TAG_ID	build-time public	GitHub variable / Docker build arg	value comes from Heroku classification or provider public config; do not commit
BASE_URL	AWS/ECS platform config	Terraform task environment, SSM, GitHub deployment variable	set to https://ferry.fyi after production cutover
DATABASE_URL	migration-only	Terraform-generated RDS DATABASE_URL secret	never import Heroku DATABASE_URL as AWS runtime config
FIREBASE_API_KEY	build-time public	GitHub variable / Docker build arg	value comes from Heroku classification or provider public config; do not commit
FIREBASE_APP_ID	build-time public	GitHub variable / Docker build arg	value comes from Heroku classification or provider public config; do not commit
FIREBASE_PROJECT_ID	build-time public	GitHub variable / Docker build arg	value comes from Heroku classification or provider public config; do not commit
FIREBASE_SENDER_ID	build-time public	GitHub variable / Docker build arg	value comes from Heroku classification or provider public config; do not commit
FIREBASE_SERVICE_ACCOUNT	runtime server secret/config	AWS Secrets Manager app config JSON	value redacted
FIREBASE_VAPID_KEY	build-time public	GitHub variable / Docker build arg	value comes from Heroku classification or provider public config; do not commit
GOOGLE_ANALYTICS	build-time public	GitHub variable / Docker build arg	value comes from Heroku classification or provider public config; do not commit
GTM_CONTAINER_ID	build-time public	GitHub variable / Docker build arg	value comes from Heroku classification or provider public config; do not commit
MAPBOX_ACCESS_TOKEN	build-time public	GitHub variable / Docker build arg	value comes from Heroku classification or provider public config; do not commit
REPORT_BASE_URL	runtime server config	AWS Secrets Manager app config JSON	dedicated HTTPS advertiser-report origin
REVENUECAT_ANDROID_PUBLIC_API_KEY	build-time public	GitHub variable / Docker build arg	public Google app SDK key
REVENUECAT_IOS_PUBLIC_API_KEY	build-time public	GitHub variable / Docker build arg	public Apple app SDK key
REVENUECAT_PROJECT_ID	runtime server config	AWS Secrets Manager app config JSON	RevenueCat project identifier
REVENUECAT_PRODUCTION_WEBHOOK_AUTHORIZATION	runtime server secret	AWS Secrets Manager app config JSON	never expose to client builds
REVENUECAT_PRODUCTION_WEBHOOK_HMAC_SECRET	runtime server secret	AWS Secrets Manager app config JSON	never expose to client builds
REVENUECAT_SANDBOX_WEBHOOK_AUTHORIZATION	runtime server secret	AWS Secrets Manager app config JSON	never expose to client builds
REVENUECAT_SANDBOX_WEBHOOK_HMAC_SECRET	runtime server secret	AWS Secrets Manager app config JSON	never expose to client builds
REVENUECAT_V2_SECRET_API_KEY	runtime server secret	AWS Secrets Manager app config JSON	least-privilege customer subscription and portal access
REVENUECAT_WEB_PUBLIC_API_KEY	build-time public	GitHub variable / Docker build arg	public RevenueCat Billing SDK key
SUPPORTER_ACTION_HMAC_SECRET	runtime server secret	AWS Secrets Manager app config JSON	versioned portal IP digest key
SUPPORTER_ANDROID_CHECKOUT_ENABLED	runtime server config	AWS Secrets Manager app config JSON	server-owned Android checkout kill switch
SUPPORTER_IOS_CHECKOUT_ENABLED	runtime server config	AWS Secrets Manager app config JSON	server-owned iOS checkout kill switch
SUPPORTER_WEB_CHECKOUT_ENABLED	runtime server config	AWS Secrets Manager app config JSON	server-owned web checkout kill switch
NODE_ENV	AWS/ECS platform config	Terraform task environment	production
PORT	AWS/ECS platform config	Terraform task environment	4040
PROCESS_ROLE	AWS/ECS platform config	Terraform task environment	web
RUN_SCHEDULER	AWS/ECS platform config	Terraform task environment	true; the singleton web process owns recurring jobs and route notifications
SENTRY_AUTH_TOKEN	build-time secret	GitHub secret or build-only secret if sourcemaps are uploaded	do not expose to ECS runtime
SENTRY_DSN	build-time public	GitHub variable / Docker build arg and AWS Secrets Manager app config JSON if server runtime requires it	value comes from Heroku classification or provider public config; do not commit
WSDOT_API_KEY	runtime server secret/config	AWS Secrets Manager app config JSON	value redacted
